pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
520958,"1-(2,4-dimethylphenyl)-2,4-dimethylbenzene  ",9590.0,13902.0,11192.0,5678.0,8574.0,10886.0,6843.0,10198.0,12076.0,31896.0,4301.0,17388.0,10584.0,10319.0,15687.0,11243.0,16734.0,4864.0,7010.59,7456.0,1417.144,3489.0,2755.853,3032.397,5552.603,1840.878,6203.0,6149.0,4414.0,2481.954,2305.954,2524.585,1129.832,3969.0,13363.0,10637.0,7605.986,2913.601,7060.0,3613.825,8839.0,17566.0,1888.394,2069.586,2367.403,3221.765,3219.006,3062.283,1805.143,1151.709,3160.0,1228.988,1483.995,5091.0,8418.043,9205.0,5163.0,10347.0,7377.0,12634.72,15422.0,24498.0,9520.0,25617.0,26291.0,8346.0,20051.84,7912.0,3541.209,3710.0,3561.0,5648.215,3247.0,9403.0,2620.121,3246.0,1832.554,3895.0,4662.0,13234.19,8102.0,2683.446,2967.191,1876.034,1372.954,2338.0,2152.278,6119.0,12383.0,9339.0,8449.0,8397.0,6942.0,44692.0,8361.0,3682.283,6835.0,8642.0,9321.0,9293.0,11486.63,3240.0,2856.718,12458.38,3229.0,7973.0,4360.034,3243.0,4535.0,3649.0,4296.0,4676.908,8460.0,3754.319,1177.219,2193.411,4284.51,7188.377,2744.816,924.6961,3328.0
6041429,"E)-3-(2,4-dimethoxyphenyl)-1-(2-hydroxyphenyl)prop-2-en-1-one  ",49178.0,32800.0,84792.0,10447.0,185993.0,13801.0,77433.0,113273.0,112678.2,97774.78,316114.0,106816.0,112192.0,71074.0,13094.0,85380.0,117815.0,78685.0,18723.0,264348.0,209476.0,58646.33,247826.0,64205.0,328447.0,444097.0,9880.0,159038.0,404149.0,307746.0,50158.0,224454.0,160295.0,86931.0,707338.0,433223.0,85606.0,216977.0,137679.6,268781.0,106963.3,106107.0,297720.0,266031.0,418377.0,86015.0,198190.0,306230.0,220174.0,165510.0,62552.0,174129.0,218540.0,24386.0,32414.0,42337.0,539631.0,98890.0,70558.0,89525.0,83231.0,762568.0,92114.0,19247.0,133240.0,769824.0,125222.3,9552.0,53999.0,360479.0,74725.0,82129.0,816320.0,69858.0,242951.0,212861.0,43383.0,39034.21,79222.0,490742.0,170359.0,76285.0,303339.0,56433.0,270896.0,256088.0,50267.0,161457.0,40898.72,829594.0,45755.0,36991.1,32638.0,431780.0,12188.0,62373.0,100305.0,93952.0,89514.0,94901.0,95024.0,274197.6,469446.0,105795.0,67126.0,84957.0,56501.0,231905.0,273445.0,29419.0,65461.0,229290.0,652064.0,55418.0,114489.0,435894.0,365358.0,81447.0,283817.0,199554.0,56803.0
91742720,bis[[(3-ethylphenoxy)-dimethylsilyl]oxy]-dimethylsilane  ,41587.0,39050.0,59843.88,22535.0,12794.0,20304.0,15580.17,77180.0,22538.0,15174.0,30528.0,18903.0,19463.0,16955.43,30895.0,16536.0,24966.59,28764.3,18600.0,22929.0,11470.0,14368.0,39468.0,20075.99,8675.0,9496.0,17530.0,12306.27,11189.0,17000.0,11465.0,13335.0,12200.0,25285.07,25435.0,23157.04,22258.0,13577.95,17718.0,20136.0,16229.04,63688.0,21118.0,17357.07,23209.0,20529.0,12204.0,17992.46,20750.61,10772.0,14632.0,7689.952,8962.0,12783.89,29285.0,38871.0,22453.0,27646.0,17768.0,21976.0,13941.0,26640.0,21637.95,41876.0,47218.37,88927.99,42377.51,13496.58,10247.0,11695.0,10117.0,13654.0,14610.0,13361.0,8689.125,11344.0,12129.0,7712.0,11227.0,39751.59,27065.66,40324.0,30686.0,10173.0,8928.0,15178.0,9858.0,11149.0,50428.07,14788.93,16340.74,17667.0,27531.74,21638.0,18787.64,14007.6,17062.96,20836.0,17595.0,21076.44,45046.0,30726.0,12842.0,18191.0,18862.0,14429.0,12713.0,13036.0,9938.0,11706.73,8152.0,15266.0,14104.0,16024.0,14096.0,23086.0,32266.0,21885.43,30168.0,7434.0,11964.0
5370325,bis(2-ethylhexyl) (E)-but-2-enedioate  ,6839.0,7771.0,13520.0,11528.0,5423.0,14472.0,6320.0,12674.0,10773.0,10035.0,1046.057,9977.0,11958.0,14662.0,9796.0,7547.0,9862.0,2406.342,8531.0,6621.0,1022.801,1089.605,1296.105,1272.925,1226.14,1683.738,4662.0,4603.0,5307.0,2342.361,1260.177,8061.0,1311.695,7376.0,9942.0,10375.0,5315.0,9382.0,7382.0,1487.069,14421.0,19635.0,2389.596,2249.289,1740.532,953.1437,1174.105,2338.961,1788.096,1107.282,783.784,1009.996,1139.273,7028.0,6802.0,11344.0,13540.0,10850.63,8983.0,13455.0,9101.0,15732.0,8990.0,9543.0,12960.0,9309.0,11928.0,5506.933,933.1613,2908.014,5646.0,4596.0,3958.0,4500.0,6601.0,4234.0,1128.009,564.7924,1811.582,7605.0,11840.0,1313.588,2566.175,1246.802,818.6775,1736.996,783.2444,3172.0,14756.0,10372.0,5223.0,13617.0,10367.0,9106.0,8586.0,916.2101,8441.0,9401.0,14941.0,14446.0,13823.0,1657.937,1237.878,8005.0,4675.0,4502.0,1348.567,1739.793,4121.742,5431.0,3997.0,15070.0,4717.0,5079.0,1058.764,2131.84,9011.0,9842.0,1703.446,1242.982,727.2068
574439,2-(hydroxymethyl)-2-methylpyrrolidine-1-carbaldehyde  ,5198580.0,7674692.0,6061089.0,5840030.0,6259983.0,6282203.0,3207118.0,6458989.0,6102384.0,6092446.0,7406651.0,6183698.0,7395881.0,1695600.0,7042804.0,7504285.0,4428128.0,7720883.0,7589670.0,3521039.0,4597252.0,3094174.0,5797646.0,7743.0,4947580.0,4197729.0,4520530.0,4621744.0,3960073.0,3391541.0,1069519.0,4446438.0,4495907.0,7795316.0,6002144.0,4999225.0,5590889.0,5427406.0,5996811.0,7348882.0,5728891.0,6630462.0,7092315.0,7709896.0,5930460.0,1006.512,6667004.0,6366303.0,4000216.0,5141087.0,4927367.0,5006871.0,4831582.0,31878.0,355205.6,41115.0,1080428.0,6489854.0,7754310.0,5292649.0,5820796.0,5853170.0,6617614.0,7643716.0,21565.34,6932096.0,7474614.0,5071192.0,5116799.0,4843656.0,3832936.0,4724953.0,4024204.0,2544448.0,2394275.0,3925942.0,4226913.0,3158955.0,7083277.0,7430250.0,6415096.0,6351712.0,6382022.0,4514975.0,4107870.0,3352310.0,4680716.0,7122479.0,2802483.0,33697.52,5701544.0,5795602.0,877339.4,6661640.0,6092866.0,4765582.0,5635349.0,6957393.0,6609110.0,7399910.0,7038539.0,7752026.0,8313235.0,7220152.0,4646813.0,4227678.0,5234313.0,4005050.0,5070394.0,4683739.0,3605500.0,4992469.0,4652113.0,3872543.0,4565241.0,5432967.0,8083213.0,6000367.0,5395913.0,3385833.0,4784789.0
567717,2-benzyl-1-morpholin-4-yl-3-phenylpropan-2-ol  ,17570.0,67718.0,58321.0,11378.0,2337.679,9372.0,5730.0,14981.0,3761.0,16858.0,12194.0,40293.0,6016.0,18741.0,17917.0,11738.0,5695.533,11023.0,11840.0,1774.633,5576.0,2153.586,7127.0,2744.0,830.668,35217.0,1934.022,6932.0,765.4455,13843.0,5534.0,3516.0,4267.0,3827.0,1211.115,4778.0,4580.0,5398.0,2624.0,4394.0,4738.0,4370.0,2041.049,2963.152,1147.091,1901.165,2649.0,9026.0,901.1322,1677.781,5720.0,766.8845,917.4142,29622.0,15970.0,18800.0,15907.0,24903.89,25462.0,6628.0,4665.0,38741.0,8821.0,29221.0,7783.0,16563.0,1705.862,4597.0,2287.741,3652.0,8014.0,11020.65,1861.953,6218.0,3613.0,1308.029,6142.0,1801.666,5705.0,5256.7,14413.0,7724.0,4204.0,1126.045,2886.0,3172.0,825.2626,1750.349,39012.0,15791.0,9758.0,16922.0,3275.0,19643.0,5581.0,22445.0,31665.0,12489.0,14710.0,44578.0,6415.0,23393.0,7585.0,12859.0,5326.0,1449.434,3290.0,1950.587,435.3537,2827.0,5041.0,4617.0,535.405,3611.0,2108.912,6832.0,3666.0,2220.112,6481.0,858.5648,596.5123
5370158,"(E)-3-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl)prop-2-enal  ",9651.0,14109.0,20204.0,8947.0,7671.0,8486.0,9158.0,109183.0,5614.0,6296.241,97155.0,8659.0,7096.5,4024.0,8827.0,6191.0,6974.263,107888.0,4404.0,13041.0,32199.0,55564.0,57288.0,58907.0,20955.0,44548.0,4388.0,2885.0,8384.0,65494.1,32868.0,2817.0,48818.0,2306.62,7450.0,4954.0,4060.0,7854.0,4586.0,59662.0,7877.0,12142.0,53528.0,31664.0,54172.0,142892.3,33050.0,61588.0,41750.0,28736.81,34145.0,53810.0,45158.0,13660.0,10325.0,14683.0,7855.0,9718.0,9795.0,7622.0,6826.0,8708.933,9762.0,8753.11,29118.0,10748.0,14461.0,4319.0,23844.0,51114.0,5179.0,4805.0,5940.0,3462.0,2599.0,2597.0,46372.0,24654.0,52606.0,7819.0,10063.0,62589.0,109320.0,16979.0,17383.0,37606.0,22029.0,2441.361,10123.0,7249.0,11834.77,8607.0,8264.0,12903.0,8417.559,36659.0,11872.0,10912.0,8764.0,18389.0,25059.0,48114.0,36040.0,8390.0,3789.0,6052.0,29245.0,27264.0,3417.545,3999.0,3081.0,5715.0,7876.0,4524.0,29396.0,60908.0,19535.0,7734.0,65399.0,15262.0,34692.0
21630,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate  ,2232.034,2888.637,3361.0,799.8196,1172.607,1104.57,39699.0,68715.0,5448.0,3695.0,4262.0,6049.0,3457.0,2824.0,6361.0,10226.0,100058.0,2883.0,6389.0,1307.682,2229.469,3974.0,2352.618,1739.882,1688.816,2428.814,10463.0,11975.0,6228.0,14138.0,11457.0,2419.843,2318.492,2570.117,2626.0,4061.0,3166.725,2623.0,2008.801,4956.0,3587.0,8004.0,1016.191,974.0337,1308.157,7807.063852,827.164,1888.317,2157.559,2870.0,3329.0,5786.0,5862.972,99657.0,58074.0,3780.0,10565.0,3278.0,1332.712,249687.9,379389.0,79737.0,46004.0,6537.0,3189.0,2584.895,2661.0,8038.0,1283.433,1540.686,1444.762,8005.0,7571.0,2873.0,3697.0,2498.984,1377.548,2903.0,9798.0,2428.068,3407.0,3243.46,2050.944,4979.0,1979.885,1528.372,5667.0,19280.0,69299.0,124673.0,1603.927,1431.686,1510.425,1248.669,919.1467,1529.945,37619.0,3829.0,5765.0,5045.0,11579.0,6628.0,22402.0,25650.0,1291.656,5079.0,1505.007,10841.0,27026.0,16220.0,6165.0,21182.0,6551.0,1333.568,1648.434,4287.0,4091.0,2835.0,1528.652,1159.016,8145.0
137353,"3-ethyl-3-[4-(hydroxyamino)phenyl]piperidine-2,6-dione  ",11811.0,3269.023,4312.0,4332.0,9049.0,6023.0,1951.709,4465.275,13774.0,2049.438,6626.0,6147.0,5184.0,5142.773,7648.0,19288.0,8566.0,4549.0,14450.0,1375.62,3208.0,4594.0,2775.854,1322.63,5589.0,2328.306,4572.0,5900.0,3145.0,1467.952,1338.275,538.2292,2059.88,3203.77,6734.0,9198.0,36202.0,823.6602,345.8965,2542.452,5904.0,7815.0,614.4124,3542.627,7267.0,27.96803,3601.0,2472.358,2181.219,2200.89,1335.744,1724.107,2508.388,1478.566,2967.0,11112.0,1994.835,1931.537,12579.0,12971.0,8104.0,7371.0,6756.0,2505.616,3147.0,1490.124,13236.0,26016.0,3421.0,3016.0,2368.937,1174.921,3709.0,38355.0,3997.0,2291.023,8912.776134,9148.0,8912.776134,22.36682,1475.002,80459.0,521.7326,2065.731,20405.0,3691.181,3204.0,1137.04,37122.09,5306.0,4880.0,17832.0,6517.0,8906.0,10600.0,4227.949,5278.0,7869.0,7448.0,10605.0,11192.0,5499.0,5515.0,8847.834,3723.0,9916.0,3768.754,4307.0,5830.0,8467.0,3155.928,6588.0,8432.0,3490.0,3986.0,9280.0,11369.0,6584.0,9009.0,4482.816,7581.0
558880,"(5-oxooxolan-2-yl)methyl 3,5-dinitrobenzoate  ",12919.82,4400.186,9799.0,16626.0,6507.0,18523.0,8777.0,13918.68,12766.0,26098.0,37069.0,9933.842,9685.0,9855.0,6890.742,22314.0,56934.0,15107.0,40122.0,2719.356,2452.062,4225.0,5532.0,5601.0,5111.0,3742.0,10363.0,13145.0,1454.477,273.3806,7437.0,8189.0,458.3836,2105.855,5205.896,11503.0,44950.0,2790.0,5848.0,5242.0,38551.0,7241.234,10425.0,2384.546,34660.0,5410.0,37503.0,7242.0,96.29506,4792.0,2947.906,987.3841,1648.663,4803.291,3862.388,11404.0,26277.0,17720.0,7972.0,17548.0,9962.991,5954.656,15634.0,23438.0,5154.942,2414.905,10078.92,19909.0,3985.0,2440.679,8806.0,4954.325,14827.0,12670.0,6324.0,1475.703,4690.0,11728.0,5176.0,9861.0,5335.22,4074.016,4446.0,7288.0,2598.0,3906.0,8673.0,8276.0,5488.001,23075.0,4211.416,3504.724,30008.0,21753.0,9127.0,4217.0,14799.0,27047.0,33857.0,18580.0,59609.0,24939.0,3738.0,11694.0,22392.0,3255.21,9599.0,3412.0,2069.144,4044.0,4296.294,10087.0,2417.714,5067.0,14925.0,19115.0,2676.757,7486.037,12921.0,5309.0,3795.0
