0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
25171.0,7408.786,14733.0,19142.0,8074.558,148237.0,623054.0,8061.0,6892.533,111573.0,9590.0,49178.0,41587.0,6839.0,5198580.0,17570.0,9651.0,2232.034,11811.0,12919.82,33519.0,26240.99,114490.9,76688.0,270493.1,7372.978,510230.0,32939.0,203402.0,22357.0,18000.0,8505.0,3084820.0,87788.13,7710.176,14774.0,492180.0,25543.0,30504.0,94873.0,33241.0,24816.91,860632.0,12669.05,18819.0,51096.98,3416.014,292225.8,30341.0,42502.0,42502.0,29404.0,21204.0,86872.07,207937.0,16519.0,5888.413,52271.0,43960.71,1705915.0,554.3914,6065.651,30032.0,2678.293,12436.0,97420.0,2694.246,19271.0,63154.0,63154.0,9492.295,37270.8,21707.0,72875.0,281444.0
35426.0,10494.0,13814.0,19610.0,9534.439,151944.0,1049345.0,12293.0,15218.0,260944.0,13902.0,32800.0,39050.0,7771.0,7674692.0,67718.0,14109.0,2888.637,3269.023,4400.186,47186.0,32775.0,106667.0,113125.0,457904.0,6037.228,742059.0,36460.0,431636.0,16139.0,29551.0,19096.0,5764204.0,162142.0,18287.14,13107.0,700518.0,41491.0,35181.0,230146.0,23338.35,23680.0,1133157.0,11765.74,38272.26,148555.0,4805.294,1113944.0,46596.0,71883.0,71883.0,28550.0,28072.0,200303.0,131457.0,17528.0,28092.0,114571.0,66959.0,1935782.0,104543.0,10116.0,38287.0,2951.0,13283.0,159891.0,5271.946,10098.0,163957.0,163957.0,30837.0,71895.0,24692.0,109772.0,432542.1
34209.0,12477.32,16758.0,29740.0,10044.05,244725.0,881756.0,16244.1,10824.05,258261.0,11192.0,84792.0,59843.88,13520.0,6061089.0,58321.0,20204.0,3361.0,4312.0,9799.0,28128.0,50640.21,87147.62,165791.0,469350.0,7282.927,1447991.0,37787.0,228035.0,16877.16,21170.0,6082.0,5694774.0,141013.0,16142.0,11935.0,681167.0,63219.0,48312.0,274172.0,25916.01,27711.0,789319.0,23323.5,19668.0,65098.44,6819.664,406446.0,40766.0,62133.0,62133.0,21702.75,13693.0,148753.0,326175.0,30816.0,44982.82,94620.0,79276.0,1796996.0,79652.0,9636.729,33884.0,7541.0,15858.0,110765.0,4351.0,14218.0,81069.0,81069.0,28959.0,39959.0,13369.0,113515.0,378186.0
21397.0,15453.0,6268.0,23105.0,8678.45,144601.0,895901.0,8661.515,9415.0,249730.0,5678.0,10447.0,22535.0,11528.0,5840030.0,11378.0,8947.0,799.8196,4332.0,16626.0,77844.0,25882.0,105337.5,270198.0,477633.0,5041.0,825122.0,34470.0,257445.7,20513.0,14134.0,9815.0,6763523.0,84522.0,14260.0,11878.0,689525.0,50510.0,37634.0,142833.0,8100.0,17872.0,541806.0,2562.0,18679.0,51782.0,3433.0,368076.0,24664.0,46258.0,46258.0,13966.0,9666.0,481274.0,204560.0,30844.0,56515.0,105344.0,27984.44,2033090.0,73158.0,7363.0,25083.0,41815.0,7423.0,165803.0,3073.0,6313.0,54720.0,54720.0,9275.08,40154.0,15689.0,66902.0,294211.0
214153.0,9553.717,7703.0,44749.0,17280.0,110868.0,638956.0,8965.0,5740.0,181964.0,8574.0,185993.0,12794.0,5423.0,6259983.0,2337.679,7671.0,1172.607,9049.0,6507.0,16308.0,15814.0,201136.0,37209.0,371541.0,10133.0,227185.8,65701.0,81001.0,12376.0,18789.0,2621.0,2360428.0,38297.0,6422.0,13122.0,440372.0,24284.0,17444.0,101951.0,14339.0,27021.0,190582.0,6374.0,18089.0,58110.0,6017.0,659296.0,28559.0,43475.0,43475.0,9540.0,13433.86,91573.0,9795.0,2407.843,15839.0,324815.0,10048.0,1796892.0,84972.0,6305.0,23847.0,4323.0,8770.0,19903.0,3366.0,7415.0,95460.0,95460.0,1541.204,32188.99,17069.0,62604.0,266129.0
26195.0,8565.384,11520.0,26945.0,8977.0,118199.0,911734.0,12722.0,10520.0,193911.0,10886.0,13801.0,20304.0,14472.0,6282203.0,9372.0,8486.0,1104.57,6023.0,18523.0,15127.0,24067.0,143917.0,1140179.0,416492.0,149599.0,474362.0,41378.0,266680.9,15491.0,27353.0,3786.0,4168952.0,77674.0,7215.322,21696.0,733704.0,38965.0,30550.0,106632.0,12611.0,47809.0,415001.0,2649.0,42144.0,153443.0,5703.0,396334.0,42236.0,68280.0,68280.0,13880.15,8733.0,60535.0,34387.0,13955.0,9741.0,180533.0,18471.0,4185722.0,81927.0,15907.0,38265.83,6677.0,9886.118,115937.0,4969.507,11552.0,92310.0,92310.0,5218.0,23399.0,30811.0,70841.0,375108.0
35519.0,9487.618,5838.0,23875.0,7383.869,111010.0,489266.0,6899.33,9773.209,139529.0,6843.0,77433.0,15580.17,6320.0,3207118.0,5730.0,9158.0,39699.0,1951.709,8777.0,8983.0,20777.0,105629.0,382841.0,394663.0,7255.0,214170.8,38083.0,285571.0,10202.0,11269.0,5035.0,1855372.0,28522.0,6074.0,5950.702,587448.0,21631.0,23398.0,100782.0,7830.0,10364.0,729954.0,4851.0,14471.0,35706.0,4712.0,5224.0,27594.0,41554.0,41554.0,11755.0,3748.0,75639.74,7415.0,9411.0,4849.0,45443.4,8161.0,764876.0,1411.246,5628.0,20955.0,14615.0,6846.0,114208.0,3367.665,5268.0,66030.0,66030.0,9681.0,13886.14,13473.0,68927.0,257148.0
33562.0,13444.0,11079.0,43728.0,9307.986,189230.0,548009.0,11760.0,12605.0,290363.0,10198.0,113273.0,77180.0,12674.0,6458989.0,14981.0,109183.0,68715.0,4465.275,13918.68,29955.0,64656.12,90116.0,100952.0,287576.0,32495.92,1565351.0,54658.0,237405.0,15838.95,12229.0,6336.0,3834201.0,88114.0,17638.0,25429.0,1186277.0,59740.0,58372.0,846639.0,14548.0,37397.0,1142505.0,21769.97,21559.02,85803.37,5886.0,338628.0,38601.0,84788.0,84788.0,15551.0,58412.54,63585.0,177229.0,23994.0,10395.0,90913.0,53170.0,2402561.0,85130.0,16442.42,46248.0,8350.0,19717.0,69131.0,4286.0,30956.0,96139.0,96139.0,25114.0,26074.46,53757.0,120840.0,457196.0
30236.0,13670.0,12114.0,40643.0,19480.0,185884.5,1312278.0,11863.0,15045.0,208200.0,12076.0,112678.2,22538.0,10773.0,6102384.0,3761.0,5614.0,5448.0,13774.0,12766.0,11495.0,32850.0,197533.0,1315293.0,781447.0,10277.0,579830.0,40318.0,519234.0,22539.0,8818.0,9877.0,6225743.0,112670.0,11557.0,20828.0,850577.0,40865.0,48546.0,170301.0,19485.0,35280.0,586267.0,6611.0,32165.0,83238.22,8007.0,503476.0,38348.0,71517.0,71517.0,19333.33,8026.467,81589.0,53919.0,26029.0,4730.0,80001.0,18485.23,2427561.0,78110.0,11850.0,43356.0,13381.0,9309.0,275158.0,4519.0,11215.0,96901.0,96901.0,1659.678,44794.0,39422.0,78643.0,455409.0
202042.0,13849.0,10435.0,42665.0,9839.0,189689.7,416394.0,10990.0,11739.0,140310.0,31896.0,97774.78,15174.0,10035.0,6092446.0,16858.0,6296.241,3695.0,2049.438,26098.0,5907.0,14475.0,74245.81,1407083.0,219370.0,14485.0,37277.0,38578.0,81044.0,11499.0,9775.0,3491.0,746631.0,22841.0,3506.0,44973.0,977010.0,28744.0,29724.0,86997.0,10727.0,44197.0,363333.0,12659.0,25181.4,74003.0,5280.0,285740.0,32386.0,52894.0,52894.0,13634.0,10266.0,270483.0,5753.0,615.9293,1112.745,51234.0,37602.0,2887269.0,77462.0,13963.0,41115.0,8748.0,59823.78,10994.27,3378.0,11433.0,89945.0,89945.0,15301.64,18557.0,37297.0,99057.0,309496.0
