1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
9590,13902,11192,5678,8574,10886,6843,10198,12076,31896,4301,17388,10584,10319,15687,11243,16734,4864,7010.59,7456,1417.144,3489,2755.853,3032.397,5552.603,1840.878,6203,6149,4414,2481.954,2305.954,2524.585,1129.832,3969,13363,10637,7605.986,2913.601,7060,3613.825,8839,17566,1888.394,2069.586,2367.403,3221.765,3219.006,3062.283,1805.143,1151.709,3160,1228.988,1483.995,5091,8418.043,9205,5163,10347,7377,12634.72,15422,24498,9520,25617,26291,8346,20051.84,7912,3541.209,3710,3561,5648.215,3247,9403,2620.121,3246,1832.554,3895,4662,13234.19,8102,2683.446,2967.191,1876.034,1372.954,2338,2152.278,6119,12383,9339,8449,8397,6942,44692,8361,3682.283,6835,8642,9321,9293,11486.63,3240,2856.718,12458.38,3229,7973,4360.034,3243,4535,3649,4296,4676.908,8460,3754.319,1177.219,2193.411,4284.51,7188.377,2744.816,924.6961,3328
49178,32800,84792,10447,185993,13801,77433,113273,112678.2,97774.78,316114,106816,112192,71074,13094,85380,117815,78685,18723,264348,209476,58646.33,247826,64205,328447,444097,9880,159038,404149,307746,50158,224454,160295,86931,707338,433223,85606,216977,137679.6,268781,106963.3,106107,297720,266031,418377,86015,198190,306230,220174,165510,62552,174129,218540,24386,32414,42337,539631,98890,70558,89525,83231,762568,92114,19247,133240,769824,125222.3,9552,53999,360479,74725,82129,816320,69858,242951,212861,43383,39034.21,79222,490742,170359,76285,303339,56433,270896,256088,50267,161457,40898.72,829594,45755,36991.1,32638,431780,12188,62373,100305,93952,89514,94901,95024,274197.6,469446,105795,67126,84957,56501,231905,273445,29419,65461,229290,652064,55418,114489,435894,365358,81447,283817,199554,56803
41587,39050,59843.88,22535,12794,20304,15580.17,77180,22538,15174,30528,18903,19463,16955.43,30895,16536,24966.59,28764.3,18600,22929,11470,14368,39468,20075.99,8675,9496,17530,12306.27,11189,17000,11465,13335,12200,25285.07,25435,23157.04,22258,13577.95,17718,20136,16229.04,63688,21118,17357.07,23209,20529,12204,17992.46,20750.61,10772,14632,7689.952,8962,12783.89,29285,38871,22453,27646,17768,21976,13941,26640,21637.95,41876,47218.37,88927.99,42377.51,13496.58,10247,11695,10117,13654,14610,13361,8689.125,11344,12129,7712,11227,39751.59,27065.66,40324,30686,10173,8928,15178,9858,11149,50428.07,14788.93,16340.74,17667,27531.74,21638,18787.64,14007.6,17062.96,20836,17595,21076.44,45046,30726,12842,18191,18862,14429,12713,13036,9938,11706.73,8152,15266,14104,16024,14096,23086,32266,21885.43,30168,7434,11964
6839,7771,13520,11528,5423,14472,6320,12674,10773,10035,1046.057,9977,11958,14662,9796,7547,9862,2406.342,8531,6621,1022.801,1089.605,1296.105,1272.925,1226.14,1683.738,4662,4603,5307,2342.361,1260.177,8061,1311.695,7376,9942,10375,5315,9382,7382,1487.069,14421,19635,2389.596,2249.289,1740.532,953.1437,1174.105,2338.961,1788.096,1107.282,783.784,1009.996,1139.273,7028,6802,11344,13540,10850.63,8983,13455,9101,15732,8990,9543,12960,9309,11928,5506.933,933.1613,2908.014,5646,4596,3958,4500,6601,4234,1128.009,564.7924,1811.582,7605,11840,1313.588,2566.175,1246.802,818.6775,1736.996,783.2444,3172,14756,10372,5223,13617,10367,9106,8586,916.2101,8441,9401,14941,14446,13823,1657.937,1237.878,8005,4675,4502,1348.567,1739.793,4121.742,5431,3997,15070,4717,5079,1058.764,2131.84,9011,9842,1703.446,1242.982,727.2068
5198580,7674692,6061089,5840030,6259983,6282203,3207118,6458989,6102384,6092446,7406651,6183698,7395881,1695600,7042804,7504285,4428128,7720883,7589670,3521039,4597252,3094174,5797646,7743,4947580,4197729,4520530,4621744,3960073,3391541,1069519,4446438,4495907,7795316,6002144,4999225,5590889,5427406,5996811,7348882,5728891,6630462,7092315,7709896,5930460,1006.512,6667004,6366303,4000216,5141087,4927367,5006871,4831582,31878,355205.6,41115,1080428,6489854,7754310,5292649,5820796,5853170,6617614,7643716,21565.34,6932096,7474614,5071192,5116799,4843656,3832936,4724953,4024204,2544448,2394275,3925942,4226913,3158955,7083277,7430250,6415096,6351712,6382022,4514975,4107870,3352310,4680716,7122479,2802483,33697.52,5701544,5795602,877339.4,6661640,6092866,4765582,5635349,6957393,6609110,7399910,7038539,7752026,8313235,7220152,4646813,4227678,5234313,4005050,5070394,4683739,3605500,4992469,4652113,3872543,4565241,5432967,8083213,6000367,5395913,3385833,4784789
17570,67718,58321,11378,2337.679,9372,5730,14981,3761,16858,12194,40293,6016,18741,17917,11738,5695.533,11023,11840,1774.633,5576,2153.586,7127,2744,830.668,35217,1934.022,6932,765.4455,13843,5534,3516,4267,3827,1211.115,4778,4580,5398,2624,4394,4738,4370,2041.049,2963.152,1147.091,1901.165,2649,9026,901.1322,1677.781,5720,766.8845,917.4142,29622,15970,18800,15907,24903.89,25462,6628,4665,38741,8821,29221,7783,16563,1705.862,4597,2287.741,3652,8014,11020.65,1861.953,6218,3613,1308.029,6142,1801.666,5705,5256.7,14413,7724,4204,1126.045,2886,3172,825.2626,1750.349,39012,15791,9758,16922,3275,19643,5581,22445,31665,12489,14710,44578,6415,23393,7585,12859,5326,1449.434,3290,1950.587,435.3537,2827,5041,4617,535.405,3611,2108.912,6832,3666,2220.112,6481,858.5648,596.5123
9651,14109,20204,8947,7671,8486,9158,109183,5614,6296.241,97155,8659,7096.5,4024,8827,6191,6974.263,107888,4404,13041,32199,55564,57288,58907,20955,44548,4388,2885,8384,65494.1,32868,2817,48818,2306.62,7450,4954,4060,7854,4586,59662,7877,12142,53528,31664,54172,142892.3,33050,61588,41750,28736.81,34145,53810,45158,13660,10325,14683,7855,9718,9795,7622,6826,8708.933,9762,8753.11,29118,10748,14461,4319,23844,51114,5179,4805,5940,3462,2599,2597,46372,24654,52606,7819,10063,62589,109320,16979,17383,37606,22029,2441.361,10123,7249,11834.77,8607,8264,12903,8417.559,36659,11872,10912,8764,18389,25059,48114,36040,8390,3789,6052,29245,27264,3417.545,3999,3081,5715,7876,4524,29396,60908,19535,7734,65399,15262,34692
2232.034,2888.637,3361,799.8196,1172.607,1104.57,39699,68715,5448,3695,4262,6049,3457,2824,6361,10226,100058,2883,6389,1307.682,2229.469,3974,2352.618,1739.882,1688.816,2428.814,10463,11975,6228,14138,11457,2419.843,2318.492,2570.117,2626,4061,3166.725,2623,2008.801,4956,3587,8004,1016.191,974.0337,1308.157,7807.063852,827.164,1888.317,2157.559,2870,3329,5786,5862.972,99657,58074,3780,10565,3278,1332.712,249687.9,379389,79737,46004,6537,3189,2584.895,2661,8038,1283.433,1540.686,1444.762,8005,7571,2873,3697,2498.984,1377.548,2903,9798,2428.068,3407,3243.46,2050.944,4979,1979.885,1528.372,5667,19280,69299,124673,1603.927,1431.686,1510.425,1248.669,919.1467,1529.945,37619,3829,5765,5045,11579,6628,22402,25650,1291.656,5079,1505.007,10841,27026,16220,6165,21182,6551,1333.568,1648.434,4287,4091,2835,1528.652,1159.016,8145
11811,3269.023,4312,4332,9049,6023,1951.709,4465.275,13774,2049.438,6626,6147,5184,5142.773,7648,19288,8566,4549,14450,1375.62,3208,4594,2775.854,1322.63,5589,2328.306,4572,5900,3145,1467.952,1338.275,538.2292,2059.88,3203.77,6734,9198,36202,823.6602,345.8965,2542.452,5904,7815,614.4124,3542.627,7267,27.96803,3601,2472.358,2181.219,2200.89,1335.744,1724.107,2508.388,1478.566,2967,11112,1994.835,1931.537,12579,12971,8104,7371,6756,2505.616,3147,1490.124,13236,26016,3421,3016,2368.937,1174.921,3709,38355,3997,2291.023,8912.776134,9148,8912.776134,22.36682,1475.002,80459,521.7326,2065.731,20405,3691.181,3204,1137.04,37122.09,5306,4880,17832,6517,8906,10600,4227.949,5278,7869,7448,10605,11192,5499,5515,8847.834,3723,9916,3768.754,4307,5830,8467,3155.928,6588,8432,3490,3986,9280,11369,6584,9009,4482.816,7581
12919.82,4400.186,9799,16626,6507,18523,8777,13918.68,12766,26098,37069,9933.842,9685,9855,6890.742,22314,56934,15107,40122,2719.356,2452.062,4225,5532,5601,5111,3742,10363,13145,1454.477,273.3806,7437,8189,458.3836,2105.855,5205.896,11503,44950,2790,5848,5242,38551,7241.234,10425,2384.546,34660,5410,37503,7242,96.29506,4792,2947.906,987.3841,1648.663,4803.291,3862.388,11404,26277,17720,7972,17548,9962.991,5954.656,15634,23438,5154.942,2414.905,10078.92,19909,3985,2440.679,8806,4954.325,14827,12670,6324,1475.703,4690,11728,5176,9861,5335.22,4074.016,4446,7288,2598,3906,8673,8276,5488.001,23075,4211.416,3504.724,30008,21753,9127,4217,14799,27047,33857,18580,59609,24939,3738,11694,22392,3255.21,9599,3412,2069.144,4044,4296.294,10087,2417.714,5067,14925,19115,2676.757,7486.037,12921,5309,3795
