iter	Passed	Remaining
413	4013	5681
414	4019	5666
415	4025	5650
416	4035	5641
417	4041	5626
418	4051	5617
419	4056	5602
420	4066	5593
421	4072	5578
422	4081	5567
423	4088	5554
424	4097	5544
425	4104	5531
426	4113	5520
427	4120	5506
428	4128	5495
429	4135	5481
430	4143	5470
431	4150	5456
432	4162	5450
433	4168	5436
434	4178	5426
435	4185	5413
436	4193	5403
437	4200	5389
438	4207	5376
439	4213	5362
440	4219	5348
441	4226	5336
442	4233	5322
443	4243	5313
444	4248	5298
445	4259	5290
446	4265	5276
447	4274	5266
448	4280	5252
449	4289	5242
450	4295	5229
451	4302	5216
452	4308	5202
453	4312	5186
454	4321	5176
455	4327	5162
456	4335	5151
457	4340	5137
458	4346	5122
459	4357	5115
460	4362	5101
461	4371	5090
462	4377	5076
463	4385	5065
464	4390	5051
465	4395	5037
466	4404	5026
467	4410	5014
468	4424	5009
469	4435	5001
470	4443	4990
471	4453	4982
472	4461	4971
473	4470	4961
474	4477	4948
475	4482	4934
476	4487	4920
477	4493	4907
478	4499	4893
479	4503	4878
480	4510	4866
481	4515	4852
482	4519	4837
483	4526	4825
484	4531	4811
485	4536	4797
486	4542	4785
487	4552	4776
488	4559	4764
489	4566	4752
490	4570	4737
491	4577	4726
492	4583	4713
493	4593	4704
494	4599	4692
495	4603	4678
496	4611	4667
497	4616	4653
498	4625	4643
499	4629	4629
500	4636	4618
501	4642	4605
502	4647	4591
503	4654	4581
504	4661	4569
505	4670	4559
506	4677	4548
507	4685	4537
508	4691	4525
509	4695	4511
510	4705	4502
511	4710	4489
512	4718	4479
513	4728	4470
514	4735	4459
515	4740	4446
516	4744	4432
517	4752	4422
518	4758	4409
519	4762	4396
520	4770	4385
521	4775	4372
522	4781	4361
523	4787	4348
524	4792	4335
525	4799	4325
526	4805	4313
527	4809	4299
528	4818	4289
529	4823	4277
530	4831	4267
531	4839	4257
532	4847	4246
533	4859	4240
534	4873	4235
535	4885	4229
536	4903	4227
537	4955	4255
538	4973	4253
539	4985	4247
540	5000	4242
541	5008	4231
542	5020	4225
543	5024	4212
544	5031	4200
545	5036	4187
546	5044	4177
547	5050	4165
548	5058	4155
549	5063	4142
550	5068	4130
551	5079	4122
552	5084	4109
553	5095	4102
554	5100	4089
555	5114	4084
556	5122	4074
557	5131	4065
558	5143	4057
559	5148	4045
560	5156	4035
561	5163	4023
562	5171	4013
563	5177	4002
564	5183	3990
565	5191	3980
566	5197	3969
567	5206	3959
568	5212	3948
569	5220	3938
570	5227	3927
571	5234	3917
572	5244	3908
573	5251	3897
574	5258	3886
575	5263	3874
576	5274	3866
577	5279	3854
578	5288	3845
579	5293	3833
580	5301	3823
581	5307	3811
582	5312	3799
583	5321	3790
584	5327	3779
585	5335	3769
586	5343	3759
587	5362	3757
588	5374	3750
589	5386	3743
590	5400	3737
591	5408	3727
592	5420	3720
593	5431	3712
594	5439	3702
595	5449	3693
596	5463	3687
597	5470	3677
598	5479	3667
599	5487	3658
600	5497	3649
601	5504	3639
602	5511	3628
603	5518	3617
604	5522	3605
605	5533	3597
606	5538	3586
607	5549	3577
608	5555	3566
609	5563	3556
610	5569	3545
611	5577	3535
612	5584	3525
613	5600	3520
614	5608	3510
615	5615	3500
616	5620	3489
617	5631	3480
618	5636	3469
619	5644	3459
620	5651	3449
621	5660	3440
622	5668	3430
623	5681	3423
624	5689	3413
625	5698	3404
626	5706	3394
627	5714	3384
628	5726	3377
629	5732	3366
630	5744	3359
631	5750	3348
632	5767	3343
633	5778	3335
634	5783	3324
635	5795	3316
636	5805	3308
637	5815	3299
638	5828	3292
639	5833	3281
640	5840	3271
641	5851	3262
642	5857	3252
643	5866	3243
644	5872	3232
645	5880	3222
646	5886	3211
647	5891	3200
648	5899	3190
649	5905	3180
650	5913	3170
651	5920	3159
652	5928	3150
653	5934	3139
654	5939	3128
655	5948	3119
656	5955	3108
657	5966	3100
658	5972	3090
659	5981	3081
660	5987	3070
661	5995	3060
662	6001	3050
663	6006	3039
664	6013	3029
665	6018	3018
