iter	Logloss
0	0.6425400667
1	0.5965238616
2	0.5606496944
3	0.5221154413
4	0.4918485242
5	0.4604679374
6	0.4355784571
7	0.4153125674
8	0.3944399634
9	0.374820931
10	0.3557424324
11	0.3380177964
12	0.3244349901
13	0.3128493553
14	0.2999347421
15	0.2890434709
16	0.2791197577
17	0.2699412412
18	0.2594164915
19	0.2494650552
20	0.2406635284
21	0.2351545733
22	0.2282314522
23	0.2243515946
24	0.2205116139
25	0.2146124285
26	0.2103182992
27	0.2074059996
28	0.2011353249
29	0.1981961228
30	0.1936210366
31	0.1896178667
32	0.1870137592
33	0.1829771885
34	0.1810825148
35	0.1784795273
36	0.1737130631
37	0.1716765027
38	0.1678191673
39	0.1656220347
40	0.1625442948
41	0.1607678214
42	0.1587725905
43	0.1565963279
44	0.1544086656
45	0.1518273132
46	0.1494283676
47	0.147497654
48	0.1459927559
49	0.1435101088
50	0.1401568014
51	0.138972227
52	0.1384009095
53	0.1366416465
54	0.1353270065
55	0.1335926721
56	0.1320918882
57	0.1319481051
58	0.1296471551
59	0.1275704628
60	0.1264110388
61	0.1244018244
62	0.1234231771
63	0.1214874733
64	0.1205668117
65	0.1192860603
66	0.1181185745
67	0.1169765384
68	0.1152049109
69	0.1136598143
70	0.1126310437
71	0.1120018072
72	0.1114247566
73	0.1097189327
74	0.1081452924
75	0.1070331973
76	0.1048149952
77	0.1041837737
78	0.1027014644
79	0.1009491543
80	0.09989929199
81	0.0988167053
82	0.09759233164
83	0.09640261184
84	0.09535569923
85	0.09485105027
86	0.09308999084
87	0.092082506
88	0.0910034346
89	0.0904995009
90	0.08953594607
91	0.08851148361
92	0.08786470945
93	0.0875589903
94	0.08688040667
95	0.08654862226
96	0.08534210227
97	0.08389291098
98	0.08334044523
99	0.08304900901
100	0.08201644587
101	0.08115410805
102	0.08020809085
103	0.07905235401
104	0.07862979312
105	0.07843136233
106	0.077445812
107	0.07673890646
108	0.07608054959
109	0.07506063373
110	0.07424704973
111	0.07381173067
112	0.07310278471
113	0.0722253378
114	0.07156515676
115	0.07105130373
116	0.0704494188
117	0.06939963407
118	0.06874317901
119	0.06735370325
120	0.06701407322
121	0.06582690394
122	0.06534001439
123	0.06478722151
124	0.06416543694
125	0.0635863903
126	0.06309257552
127	0.06240065153
128	0.06199689244
129	0.06118839841
130	0.06074264438
131	0.05999664373
132	0.05941710916
133	0.05853104037
134	0.05801704318
135	0.05777478773
136	0.05714861737
137	0.0564589445
138	0.05559115077
139	0.0551220539
140	0.05446534933
141	0.0540854321
142	0.05354109476
143	0.05310119585
144	0.05276701062
145	0.05255708029
146	0.05226328207
147	0.05164466348
148	0.05142692632
149	0.05094156709
150	0.05035614967
151	0.04990455716
152	0.04917030002
153	0.04867327491
154	0.04828742493
155	0.04797990932
156	0.04767562068
157	0.0473724465
158	0.04671664571
159	0.04631204938
160	0.04577011286
161	0.04524247036
162	0.04471993724
163	0.04465672027
164	0.04437027976
165	0.04406803431
166	0.04384547888
167	0.04364578668
168	0.04344915512
169	0.04284633315
170	0.04244722876
171	0.04215723969
172	0.04205959897
173	0.04191395294
174	0.04142670022
175	0.04094751491
176	0.04050328842
177	0.04023182115
178	0.04006107463
179	0.03985270789
180	0.03939608086
181	0.03898783063
182	0.03861183621
183	0.03821422887
184	0.03819393557
185	0.03809377482
186	0.03787619291
187	0.03763823454
188	0.03740436255
189	0.03708963616
190	0.03672786646
191	0.03629072322
192	0.03586009769
193	0.03552128548
194	0.03548606606
195	0.03527165568
196	0.03512450152
197	0.03465726764
198	0.03422549713
199	0.03389185528
200	0.03362411399
201	0.0333669851
202	0.0330228861
203	0.03279450328
204	0.03255278011
205	0.03247911708
206	0.03234699161
207	0.03213726365
208	0.03185944779
209	0.03178173997
210	0.03152845072
211	0.03138104705
212	0.03107289381
213	0.03081853445
214	0.03075379549
215	0.03051199469
216	0.03030328972
217	0.02995202153
218	0.02979507003
219	0.02978273325
220	0.02955613025
221	0.02931800554
222	0.02904041146
223	0.02902063381
224	0.02875979279
225	0.02854608935
226	0.02839838904
227	0.02821468475
228	0.02808653477
229	0.02787129824
230	0.02762518927
231	0.0273664164
232	0.02726424572
233	0.02704248317
234	0.02680367924
235	0.02653671974
236	0.02635239446
237	0.02629241278
238	0.02628120156
239	0.02607587881
240	0.02606574879
241	0.02605456252
242	0.02582870528
243	0.02576993233
244	0.02558245493
245	0.02541508786
246	0.02535857711
247	0.0251822832
248	0.0251278905
249	0.02494820883
250	0.02484969483
251	0.02464800934
252	0.02450072488
253	0.02422821245
254	0.02406004418
255	0.0240074812
256	0.02380927219
257	0.0236054049
258	0.0234641807
259	0.02326357365
260	0.02322287754
261	0.02309207029
262	0.02294152005
263	0.02292600343
264	0.02277693776
265	0.02257158729
266	0.02255723366
267	0.02242772801
268	0.02220466525
269	0.02219768042
270	0.02205842318
271	0.02194097985
272	0.02178764898
273	0.02174140686
274	0.02157040529
275	0.02153278367
276	0.02133569607
277	0.02126094214
278	0.02111626226
279	0.02096958909
280	0.02089409911
281	0.02065570271
282	0.02053649897
283	0.02037366462
284	0.0202622774
285	0.0200700247
286	0.01993694694
287	0.01982762647
288	0.01969462495
289	0.01957314098
290	0.01939693994
291	0.01931899093
292	0.01921060751
293	0.01905188727
294	0.01888897253
295	0.01879335281
296	0.01863980986
297	0.01851435595
298	0.01845060947
299	0.01829792455
300	0.01817977151
301	0.01812259541
302	0.01802431151
303	0.01799399631
304	0.01784711383
305	0.01772842989
306	0.01767438789
307	0.01758536211
308	0.01746407221
309	0.01735484046
310	0.01724374294
311	0.01714783491
312	0.01704471888
313	0.01696099514
314	0.01684311102
315	0.01678499233
316	0.0167823517
317	0.01677872275
318	0.01676900304
319	0.01671396023
320	0.01668854647
321	0.01660954814
322	0.01650105244
323	0.0164217644
324	0.01633809056
325	0.01631793588
326	0.01624223521
327	0.01619370039
328	0.01614466517
329	0.01602071662
330	0.01602070831
331	0.01600355603
332	0.01594777994
333	0.01589800729
334	0.01589799898
335	0.01584535699
336	0.01575961501
337	0.01573355808
338	0.01570390269
339	0.01559500084
340	0.01550491466
341	0.01545687054
342	0.01544086323
343	0.0153662798
344	0.01536615782
345	0.01528969061
346	0.01520352031
347	0.01512731646
348	0.01512573209
349	0.01512564615
350	0.01505651585
351	0.01504116973
352	0.01501231415
353	0.01494516051
354	0.01494147057
355	0.01488011382
356	0.01487619655
357	0.01487220443
358	0.01486863646
359	0.0148650491
360	0.01474374671
361	0.01472072269
362	0.01465102684
363	0.01465098387
364	0.01461485929
365	0.01455752656
366	0.01453278924
367	0.014532433
368	0.01453172329
369	0.01452003108
370	0.01450233127
371	0.01443315245
372	0.01437490763
373	0.01437485773
374	0.01426589489
375	0.01416205251
376	0.01416210241
377	0.01412570199
378	0.01407344535
379	0.01397699811
380	0.01389607995
381	0.01388460814
